userid	age	gender	job	zipcode
1	24	1	0	0
2	53	0	1	1
3	23	1	2	2
4	24	1	0	3
5	33	0	1	4
6	42	1	3	5
7	57	1	4	6
8	36	1	4	7
9	29	1	5	8
10	53	1	6	9
11	39	0	1	10
12	28	0	1	11
13	47	1	7	12
14	45	1	8	13
15	49	0	7	14
16	21	1	9	15
17	30	1	10	16
18	35	0	1	17
19	40	1	11	18
20	42	0	12	19
21	26	1	2	20
22	25	1	2	21
23	30	0	13	22
24	21	0	13	23
25	39	1	14	24
26	49	1	14	25
27	40	0	11	26
28	32	1	2	27
29	41	1	10	1
30	7	1	5	28
31	24	1	13	29
32	28	0	5	30
33	23	1	5	31
34	38	0	4	32
35	20	0	12	33
36	19	0	5	34
37	23	1	5	35
38	28	0	1	36
39	41	1	9	37
40	38	1	8	38
41	33	1	14	39
42	30	1	4	40
43	29	0	11	41
44	26	1	0	42
45	29	1	10	43
46	27	0	15	44
47	53	1	15	45
48	45	1	4	46
49	23	0	5	47
50	21	1	2	48
51	28	1	7	49
52	18	0	5	35
53	26	1	10	50
54	22	1	3	51
55	37	1	10	52
56	25	1	11	42
57	16	1	16	53
58	27	1	10	54
59	49	1	7	55
60	50	1	17	56
61	36	1	14	57
62	27	0	4	58
63	31	1	15	59
64	32	1	7	60
65	51	0	7	61
66	23	1	5	62
67	17	1	5	63
68	19	1	5	64
69	24	1	14	65
70	27	1	14	66
71	39	1	8	67
72	48	0	4	68
73	24	1	5	69
74	39	1	8	70
75	24	1	9	71
76	20	1	5	72
77	30	1	0	73
78	26	1	4	74
79	39	0	4	75
80	34	0	4	76
81	21	1	5	77
82	50	1	10	78
83	40	1	1	79
84	32	1	3	27
85	51	1	7	80
86	26	1	4	81
87	47	1	4	82
88	49	0	11	83
89	43	0	4	84
90	60	1	7	85
91	55	1	15	86
92	32	1	9	39
93	48	1	3	87
94	26	1	5	88
95	31	1	4	89
96	25	0	13	90
97	43	1	13	91
98	49	0	3	92
99	20	1	5	93
100	36	1	3	94
101	15	1	5	95
102	38	1	10	96
103	26	1	5	97
104	27	1	5	97
105	24	1	14	1
106	61	1	18	98
107	39	1	8	99
108	44	1	7	100
109	29	1	1	101
110	19	1	5	102
111	57	1	14	103
112	30	1	19	104
113	47	1	3	105
114	27	1	10	106
115	31	1	14	107
116	40	1	17	108
117	20	1	5	109
118	21	1	4	110
119	32	1	10	111
120	47	0	1	112
121	54	1	11	113
122	32	0	2	114
123	48	0	13	115
124	34	1	5	116
125	30	1	6	117
126	28	0	6	118
127	33	1	16	119
128	24	0	15	120
129	36	0	15	121
130	20	1	16	122
131	59	0	4	123
132	24	1	1	124
133	53	1	14	125
134	31	1	10	126
135	23	1	5	127
136	51	1	1	128
137	50	1	7	129
138	46	1	20	130
139	20	1	5	131
140	30	0	5	132
141	49	1	10	133
142	13	1	1	61
143	42	1	0	134
144	53	1	10	135
145	31	1	9	136
146	45	1	13	137
147	40	0	11	138
148	33	1	14	139
149	35	0	15	140
150	20	0	13	141
151	38	0	4	142
152	33	0	7	143
153	25	1	5	144
154	25	1	5	145
155	32	0	1	146
156	25	1	7	147
157	57	1	14	148
158	50	1	7	149
159	23	0	5	150
160	27	1	10	151
161	50	1	6	152
162	25	1	13	153
163	49	1	4	154
164	47	1	17	155
165	20	0	1	156
166	47	1	7	157
167	37	1	1	158
168	48	1	1	159
169	52	0	1	160
170	53	0	17	161
171	48	0	7	162
172	55	1	15	163
173	56	1	1	164
174	30	0	4	165
175	26	0	8	166
176	28	1	8	167
177	20	1	10	168
178	26	1	1	169
179	15	1	9	170
180	22	0	4	171
181	26	1	3	77
182	36	1	10	172
183	33	1	8	173
184	37	1	11	174
185	53	0	11	175
186	39	0	3	176
187	26	1	7	177
188	42	1	5	178
189	32	1	13	179
190	30	1	4	180
191	33	1	4	181
192	42	1	7	182
193	29	1	5	183
194	38	1	4	184
195	42	1	8	185
196	49	1	2	35
197	55	1	0	186
198	21	0	5	50
199	30	1	2	187
200	40	1	10	188
201	27	1	2	189
202	41	0	7	190
203	25	0	5	191
204	52	0	11	192
205	47	1	6	193
206	14	0	5	194
207	39	1	15	195
208	43	1	14	196
209	33	0	7	197
210	39	1	14	198
211	66	1	19	199
212	49	0	7	200
213	33	1	3	201
214	26	0	11	202
215	35	1	10	203
216	22	1	14	72
217	22	1	1	204
218	37	1	4	205
219	32	1	10	206
220	30	1	11	207
221	19	1	5	208
222	29	1	10	209
223	19	0	5	210
224	31	0	7	211
225	51	0	4	212
226	28	1	5	213
227	46	1	3	214
228	21	0	5	215
229	29	0	11	216
230	28	0	5	217
231	48	1	11	218
232	45	1	8	219
233	38	1	14	220
234	60	1	18	221
235	37	1	7	222
236	44	0	2	223
237	49	1	4	224
238	42	0	4	225
239	39	1	13	226
240	23	0	7	227
241	26	0	5	228
242	33	1	7	229
243	33	1	7	190
244	28	1	0	39
245	22	1	5	230
246	19	1	5	231
247	28	1	14	232
248	25	1	5	233
249	25	1	5	234
250	29	1	3	235
251	28	1	20	236
252	42	1	14	237
253	26	0	11	216
254	44	1	7	238
255	23	1	9	239
256	35	0	16	240
257	17	1	5	241
258	19	0	5	242
259	21	1	5	243
260	40	0	13	244
261	28	1	4	245
262	19	0	5	246
263	41	1	10	150
264	36	0	2	247
265	26	1	3	248
266	62	0	4	249
267	23	1	14	250
268	24	1	14	251
269	31	0	11	252
270	18	0	5	253
271	51	1	14	254
272	33	1	8	255
273	50	0	1	256
274	20	0	5	50
275	38	1	14	257
276	21	1	5	258
277	35	0	4	259
278	37	0	11	260
279	33	1	10	261
280	30	0	11	216
281	15	0	5	262
282	22	1	4	263
283	28	1	10	264
284	40	1	3	265
285	25	1	10	266
286	27	1	5	267
287	21	1	19	268
288	34	1	15	269
289	11	1	16	270
290	40	1	14	271
291	19	1	5	272
292	35	0	10	273
293	24	1	2	274
294	34	1	0	275
295	31	1	7	276
296	43	0	4	277
297	29	0	7	278
298	44	1	3	279
299	29	1	20	280
300	26	0	10	13
301	24	1	5	281
302	42	1	7	282
303	19	1	5	283
304	22	0	5	284
305	23	1	10	285
306	45	1	1	286
307	25	1	5	287
308	60	1	18	288
309	40	1	8	289
310	37	1	7	290
311	32	1	0	291
312	48	1	1	292
313	41	1	15	293
314	20	0	5	294
315	31	1	7	295
316	43	0	1	296
317	22	1	4	297
318	65	1	18	298
319	38	1	10	299
320	19	1	5	300
321	49	0	7	301
322	20	1	5	302
323	21	1	5	303
324	21	0	5	304
325	48	1	0	141
326	41	1	4	305
327	22	1	5	306
328	51	1	4	307
329	48	1	7	196
330	35	0	7	172
331	33	1	9	6
332	20	1	5	308
333	47	1	1	309
334	32	1	11	310
335	45	1	3	311
336	23	1	19	312
337	37	1	8	313
338	39	0	11	314
339	35	1	6	315
340	46	1	14	155
341	17	0	5	316
342	25	0	1	91
343	43	1	14	317
344	30	0	11	318
345	28	0	11	319
346	34	1	1	320
347	18	1	5	110
348	24	0	5	321
349	68	1	18	322
350	32	1	5	14
351	61	1	7	323
352	37	0	10	35
353	25	1	8	324
354	29	0	11	22
355	25	1	5	325
356	32	0	12	326
357	26	1	3	327
358	40	1	7	328
359	22	1	5	74
360	51	1	1	329
361	22	1	5	330
362	35	0	12	331
363	20	1	5	332
364	63	1	14	333
365	29	1	6	120
366	20	0	5	334
367	17	1	5	335
368	18	1	5	336
369	24	1	5	337
370	52	1	2	338
371	36	1	14	339
372	25	0	5	340
373	24	0	1	341
374	36	1	3	342
375	17	1	9	343
376	28	0	1	344
377	22	1	5	345
378	35	1	5	346
379	44	1	10	347
380	32	1	14	348
381	33	1	13	349
382	45	1	14	350
383	42	1	4	351
384	52	1	10	352
385	36	1	2	29
386	36	1	19	353
387	33	1	9	354
388	31	1	1	355
389	44	0	2	356
390	42	0	2	357
